Indicator,Group,State,Subgroup,Phase,Time Period Label,Value
"Currently experiencing long COVID, as a percentage of all adults",By State,New Mexico,New Mexico,"3,5","Jun 29 - Jul 11, 2022",8.8
"Currently experiencing long COVID, as a percentage of all adults",By State,New York,New York,"3,5","Jun 29 - Jul 11, 2022",8.7
"Currently experiencing long COVID, as a percentage of all adults",By State,North Carolina,North Carolina,"3,5","Jun 29 - Jul 11, 2022",6.4
"Currently experiencing long COVID, as a percentage of all adults",By State,North Dakota,North Dakota,"3,5","Jun 29 - Jul 11, 2022",7.6
"Currently experiencing long COVID, as a percentage of all adults",By State,Ohio,Ohio,"3,5","Jun 29 - Jul 11, 2022",9.5
"Currently experiencing long COVID, as a percentage of all adults",By State,Oklahoma,Oklahoma,"3,5","Jun 29 - Jul 11, 2022",7.7
"Currently experiencing long COVID, as a percentage of all adults",By State,Oregon,Oregon,"3,5","Jun 29 - Jul 11, 2022",8.4
"Currently experiencing long COVID, as a percentage of all adults",By State,Pennsylvania,Pennsylvania,"3,5","Jun 29 - Jul 11, 2022",6.8
"Currently experiencing long COVID, as a percentage of all adults",By State,Rhode Island,Rhode Island,"3,5","Jun 29 - Jul 11, 2022",
"Currently experiencing long COVID, as a percentage of all adults",By State,South Carolina,South Carolina,"3,5","Jun 29 - Jul 11, 2022",10.5
"Currently experiencing long COVID, as a percentage of all adults",By State,South Dakota,South Dakota,"3,5","Jun 29 - Jul 11, 2022",7.6
"Currently experiencing long COVID, as a percentage of all adults",By State,Tennessee,Tennessee,"3,5","Jun 29 - Jul 11, 2022",9.3
"Currently experiencing long COVID, as a percentage of all adults",By State,Texas,Texas,"3,5","Jun 29 - Jul 11, 2022",7.4
"Currently experiencing long COVID, as a percentage of all adults",By State,Utah,Utah,"3,5","Jun 29 - Jul 11, 2022",11.0
"Currently experiencing long COVID, as a percentage of all adults",By State,Vermont,Vermont,"3,5","Jun 29 - Jul 11, 2022",6.5
"Currently experiencing long COVID, as a percentage of all adults",By State,Virginia,Virginia,"3,5","Jun 29 - Jul 11, 2022",4.9
"Currently experiencing long COVID, as a percentage of all adults",By State,Washington,Washington,"3,5","Jun 29 - Jul 11, 2022",7.0
"Currently experiencing long COVID, as a percentage of all adults",By State,West Virginia,West Virginia,"3,5","Jun 29 - Jul 11, 2022",8.3
"Currently experiencing long COVID, as a percentage of all adults",By State,Wisconsin,Wisconsin,"3,5","Jun 29 - Jul 11, 2022",8.7
"Currently experiencing long COVID, as a percentage of all adults",By State,Wyoming,Wyoming,"3,5","Jun 29 - Jul 11, 2022",9.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,18 - 29 years,"3,5","Jul 27 - Aug 8, 2022",30.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,30 - 39 years,"3,5","Jul 27 - Aug 8, 2022",34.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,40 - 49 years,"3,5","Jul 27 - Aug 8, 2022",36.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,50 - 59 years,"3,5","Jul 27 - Aug 8, 2022",37.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,60 - 69 years,"3,5","Jul 27 - Aug 8, 2022",31.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,70 - 79 years,"3,5","Jul 27 - Aug 8, 2022",23.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,80 years and above,"3,5","Jul 27 - Aug 8, 2022",25.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alabama,Alabama,"3,5","Jul 27 - Aug 8, 2022",45.2
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alaska,Alaska,"3,5","Jul 27 - Aug 8, 2022",31.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arizona,Arizona,"3,5","Jul 27 - Aug 8, 2022",35.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arkansas,Arkansas,"3,5","Jul 27 - Aug 8, 2022",40.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,California,California,"3,5","Jul 27 - Aug 8, 2022",31.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Colorado,Colorado,"3,5","Jul 27 - Aug 8, 2022",32.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Connecticut,Connecticut,"3,5","Jul 27 - Aug 8, 2022",33.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Delaware,Delaware,"3,5","Jul 27 - Aug 8, 2022",27.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,District of Columbia,District of Columbia,"3,5","Jul 27 - Aug 8, 2022",26.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Florida,Florida,"3,5","Jul 27 - Aug 8, 2022",40.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Georgia,Georgia,"3,5","Jul 27 - Aug 8, 2022",34.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Hawaii,Hawaii,"3,5","Jul 27 - Aug 8, 2022",26.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Idaho,Idaho,"3,5","Jul 27 - Aug 8, 2022",27.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Illinois,Illinois,"3,5","Jul 27 - Aug 8, 2022",38.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Indiana,Indiana,"3,5","Jul 27 - Aug 8, 2022",30.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Iowa,Iowa,"3,5","Jul 27 - Aug 8, 2022",40.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kansas,Kansas,"3,5","Jul 27 - Aug 8, 2022",32.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kentucky,Kentucky,"3,5","Jul 27 - Aug 8, 2022",26.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Louisiana,Louisiana,"3,5","Jul 27 - Aug 8, 2022",32.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maine,Maine,"3,5","Jul 27 - Aug 8, 2022",28.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maryland,Maryland,"3,5","Jul 27 - Aug 8, 2022",31.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Massachusetts,Massachusetts,"3,5","Jul 27 - Aug 8, 2022",24.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Michigan,Michigan,"3,5","Jul 27 - Aug 8, 2022",32.1
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Minnesota,Minnesota,"3,5","Jul 27 - Aug 8, 2022",30.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Mississippi,Mississippi,"3,5","Jul 27 - Aug 8, 2022",42.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Missouri,Missouri,"3,5","Jul 27 - Aug 8, 2022",37.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Montana,Montana,"3,5","Jul 27 - Aug 8, 2022",34.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Nebraska,Nebraska,"3,5","Jul 27 - Aug 8, 2022",41.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Nevada,Nevada,"3,5","Jul 27 - Aug 8, 2022",33.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New Hampshire,New Hampshire,"3,5","Jul 27 - Aug 8, 2022",28.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New Jersey,New Jersey,"3,5","Jul 27 - Aug 8, 2022",26.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New Mexico,New Mexico,"3,5","Jul 27 - Aug 8, 2022",38.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,New York,New York,"3,5","Jul 27 - Aug 8, 2022",30.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,North Carolina,North Carolina,"3,5","Jul 27 - Aug 8, 2022",39.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,North Dakota,North Dakota,"3,5","Jul 27 - Aug 8, 2022",32.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Ohio,Ohio,"3,5","Jul 27 - Aug 8, 2022",29.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Oklahoma,Oklahoma,"3,5","Jul 27 - Aug 8, 2022",38.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Oregon,Oregon,"3,5","Jul 27 - Aug 8, 2022",37.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Pennsylvania,Pennsylvania,"3,5","Jul 27 - Aug 8, 2022",21.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Rhode Island,Rhode Island,"3,5","Jul 27 - Aug 8, 2022",34.4
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,South Carolina,South Carolina,"3,5","Jul 27 - Aug 8, 2022",37.3
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,South Dakota,South Dakota,"3,5","Jul 27 - Aug 8, 2022",39.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Tennessee,Tennessee,"3,5","Jul 27 - Aug 8, 2022",35.5
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Texas,Texas,"3,5","Jul 27 - Aug 8, 2022",34.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Utah,Utah,"3,5","Jul 27 - Aug 8, 2022",35.7
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Vermont,Vermont,"3,5","Jul 27 - Aug 8, 2022",28.8
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Virginia,Virginia,"3,5","Jul 27 - Aug 8, 2022",30.0
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Washington,Washington,"3,5","Jul 27 - Aug 8, 2022",29.6
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,West Virginia,West Virginia,"3,5","Jul 27 - Aug 8, 2022",34.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Wisconsin,Wisconsin,"3,5","Jul 27 - Aug 8, 2022",29.9
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Wyoming,Wyoming,"3,5","Jul 27 - Aug 8, 2022",36.3
"Currently experiencing long COVID, as a percentage of all adults",By Age,United States,18 - 29 years,"3,5","Jul 27 - Aug 8, 2022",6.9
"Currently experiencing long COVID, as a percentage of all adults",By Age,United States,30 - 39 years,"3,5","Jul 27 - Aug 8, 2022",8.3
"Currently experiencing long COVID, as a percentage of all adults",By Age,United States,40 - 49 years,"3,5","Jul 27 - Aug 8, 2022",10.1
"Currently experiencing long COVID, as a percentage of all adults",By Age,United States,50 - 59 years,"3,5","Jul 27 - Aug 8, 2022",9.0
"Currently experiencing long COVID, as a percentage of all adults",By Age,United States,60 - 69 years,"3,5","Jul 27 - Aug 8, 2022",6.7
"Currently experiencing long COVID, as a percentage of all adults",By Age,United States,70 - 79 years,"3,5","Jul 27 - Aug 8, 2022",3.7
"Currently experiencing long COVID, as a percentage of all adults",By Age,United States,80 years and above,"3,5","Jul 27 - Aug 8, 2022",2.2
"Currently experiencing long COVID, as a percentage of all adults",By State,Alabama,Alabama,"3,5","Jul 27 - Aug 8, 2022",11.2
"Currently experiencing long COVID, as a percentage of all adults",By State,Alaska,Alaska,"3,5","Jul 27 - Aug 8, 2022",7.9
"Currently experiencing long COVID, as a percentage of all adults",By State,Arizona,Arizona,"3,5","Jul 27 - Aug 8, 2022",10.1
"Currently experiencing long COVID, as a percentage of all adults",By State,Arkansas,Arkansas,"3,5","Jul 27 - Aug 8, 2022",7.2
"Currently experiencing long COVID, as a percentage of all adults",By State,California,California,"3,5","Jul 27 - Aug 8, 2022",8.7
"Currently experiencing long COVID, as a percentage of all adults",By State,Colorado,Colorado,"3,5","Jul 27 - Aug 8, 2022",9.3
"Currently experiencing long COVID, as a percentage of all adults",By State,Connecticut,Connecticut,"3,5","Jul 27 - Aug 8, 2022",7.7
"Currently experiencing long COVID, as a percentage of all adults",By State,Delaware,Delaware,"3,5","Jul 27 - Aug 8, 2022",5.1
"Currently experiencing long COVID, as a percentage of all adults",By State,District of Columbia,District of Columbia,"3,5","Jul 27 - Aug 8, 2022",6.1
"Currently experiencing long COVID, as a percentage of all adults",By State,Florida,Florida,"3,5","Jul 27 - Aug 8, 2022",9.1
"Currently experiencing long COVID, as a percentage of all adults",By State,Georgia,Georgia,"3,5","Jul 27 - Aug 8, 2022",8.7
"Currently experiencing long COVID, as a percentage of all adults",By State,Hawaii,Hawaii,"3,5","Jul 27 - Aug 8, 2022",4.7
"Currently experiencing long COVID, as a percentage of all adults",By State,Idaho,Idaho,"3,5","Jul 27 - Aug 8, 2022",7.8
"Currently experiencing long COVID, as a percentage of all adults",By State,Illinois,Illinois,"3,5","Jul 27 - Aug 8, 2022",9.7
"Currently experiencing long COVID, as a percentage of all adults",By State,Indiana,Indiana,"3,5","Jul 27 - Aug 8, 2022",4.8
"Currently experiencing long COVID, as a percentage of all adults",By State,Iowa,Iowa,"3,5","Jul 27 - Aug 8, 2022",11.3
"Currently experiencing long COVID, as a percentage of all adults",By State,Kansas,Kansas,"3,5","Jul 27 - Aug 8, 2022",7.5
"Currently experiencing long COVID, as a percentage of all adults",By State,Kentucky,Kentucky,"3,5","Jul 27 - Aug 8, 2022",6.4
"Currently experiencing long COVID, as a percentage of all adults",By State,Louisiana,Louisiana,"3,5","Jul 27 - Aug 8, 2022",6.4
"Currently experiencing long COVID, as a percentage of all adults",By State,Maine,Maine,"3,5","Jul 27 - Aug 8, 2022",
"Currently experiencing long COVID, as a percentage of all adults",By State,Maryland,Maryland,"3,5","Jul 27 - Aug 8, 2022",5.8
"Currently experiencing long COVID, as a percentage of all adults",By State,Massachusetts,Massachusetts,"3,5","Jul 27 - Aug 8, 2022",5.2
"Currently experiencing long COVID, as a percentage of all adults",By State,Michigan,Michigan,"3,5","Jul 27 - Aug 8, 2022",4.8
"Currently experiencing long COVID, as a percentage of all adults",By State,Minnesota,Minnesota,"3,5","Jul 27 - Aug 8, 2022",6.3
"Currently experiencing long COVID, as a percentage of all adults",By State,Mississippi,Mississippi,"3,5","Jul 27 - Aug 8, 2022",9.5
"Currently experiencing long COVID, as a percentage of all adults",By State,Missouri,Missouri,"3,5","Jul 27 - Aug 8, 2022",7.8
"Currently experiencing long COVID, as a percentage of all adults",By State,Montana,Montana,"3,5","Jul 27 - Aug 8, 2022",8.6
"Currently experiencing long COVID, as a percentage of all adults",By State,Nebraska,Nebraska,"3,5","Jul 27 - Aug 8, 2022",10.1
"Currently experiencing long COVID, as a percentage of all adults",By State,Nevada,Nevada,"3,5","Jul 27 - Aug 8, 2022",7.0
"Currently experiencing long COVID, as a percentage of all adults",By State,New Hampshire,New Hampshire,"3,5","Jul 27 - Aug 8, 2022",6.9
"Currently experiencing long COVID, as a percentage of all adults",By State,New Jersey,New Jersey,"3,5","Jul 27 - Aug 8, 2022",6.5
"Currently experiencing long COVID, as a percentage of all adults",By State,New Mexico,New Mexico,"3,5","Jul 27 - Aug 8, 2022",7.3
"Currently experiencing long COVID, as a percentage of all adults",By State,New York,New York,"3,5","Jul 27 - Aug 8, 2022",5.9
"Currently experiencing long COVID, as a percentage of all adults",By State,North Carolina,North Carolina,"3,5","Jul 27 - Aug 8, 2022",10.7
"Currently experiencing long COVID, as a percentage of all adults",By State,North Dakota,North Dakota,"3,5","Jul 27 - Aug 8, 2022",6.1
"Currently experiencing long COVID, as a percentage of all adults",By State,Ohio,Ohio,"3,5","Jul 27 - Aug 8, 2022",5.5
"Currently experiencing long COVID, as a percentage of all adults",By State,Oklahoma,Oklahoma,"3,5","Jul 27 - Aug 8, 2022",9.7
